对象,pattern,观点词,个数
效果,还是 很-,不错,2.0
追评,容量-,很大,1.0
洗发水,感觉-,挺好用,1.0
想要,是 我+,确实,1.0
活动,性价比-,高,1.0
洗完,头发 很 顺滑-,清爽,1.0
感觉,没有 这个 效果-,好,1.0
头皮,也 变得-,蓬松,1.0
物流,还 特别-,快,1.0
气味,气味 非常-,好,1.0
控油,效果 真的-,不错,2.0
介绍,的 还-,不错,1.0
感觉,突然-,轻松,1.0
头发,变得-,干燥,2.0
头皮,洗 得-,干净,1.0
洗发露,发质 的+,不同,1.0
洗发水,用 完 之后 要-,蓬松,1.0
头发,很 好闻 洗完 之后+,香,1.0
洗完,头发 都 觉得 心情-,愉悦,1.0
油头,洗完 之后 头发 真的 很-,蓬松,1.0
味道,也 挺-,好,1.0
头发,清爽 又-,柔顺,1.0
控油,洗发水 成为 我们 家 的-,新宠,1.0
到货,时 包装-,严实,1.0
产品,的+,便宜,1.0
洗完,头皮-,清爽,1.0
试用装,还 送 了+,不错,1.0
姐妹,油头 的+,大,3.0
满意,的 很+,好,1.0
追评,发货 速度-,快,1.0
洗发水,一如既往 的-,好,1.0
头发,就 没有 支棱 起来 过来 现在 头发 都 是-,蓬松,1.0
商品,气味 气味 很-,好,1.0
推荐,我 洗发水 确实-,好,1.0
感觉,没有 那么-,容易,1.0
头发,很-,柔顺,28.0
发货,速度-,快,8.0
